type,id,geometry.type,geometry.coordinates,properties.id,properties.aqhi_type,properties.forecast_type,properties.location_name_en,properties.location_name_fr,properties.location_id,properties.publication_datetime,properties.forecast_datetime_text_en,properties.forecast_datetime_text_fr,properties.forecast_datetime,properties.aqhi,properties.forecast_period.period_2.forecast_period_en,properties.forecast_period.period_2.forecast_period_fr,properties.forecast_period.period_2.aqhi,properties.forecast_period.period_2.aqhi_insmoke,properties.forecast_period.period_3.forecast_period_en,properties.forecast_period.period_3.forecast_period_fr,properties.forecast_period.period_3.aqhi,properties.forecast_period.period_3.aqhi_insmoke,properties.forecast_period.period_4.forecast_period_en,properties.forecast_period.period_4.forecast_period_fr,properties.forecast_period.period_4.aqhi,properties.forecast_period.period_4.aqhi_insmoke,properties.forecast_period.period_5.forecast_period_en,properties.forecast_period.period_5.forecast_period_fr,properties.forecast_period.period_5.aqhi,properties.forecast_period.period_5.aqhi_insmoke
Feature,AQ_FCST-IAJWU-202603070000-202603070000,Point,"[-117.5627778, 53.4111111]",AQ_FCST-IAJWU-202603070000-202603070000,AQHI-Forecast,original,Hinton,Hinton,IAJWU,2026-03-07T00:00:00Z,5:00 PM MST Friday  6 March 2026,5h00 PM HNR vendredi  6 mars 2026,2026-03-07T00:00:00Z,3.0,,,,,,,,,,,,,,,,
Feature,AQ_FCST-IAJWU-202603070100-202603070000,Point,"[-117.5627778, 53.4111111]",AQ_FCST-IAJWU-202603070100-202603070000,AQHI-Forecast,original,Hinton,Hinton,IAJWU,2026-03-07T00:00:00Z,6:00 PM MST Friday  6 March 2026,6h00 PM HNR vendredi  6 mars 2026,2026-03-07T01:00:00Z,3.0,,,,,,,,,,,,,,,,
Feature,AQ_FCST-IAJWU-202603070200-202603070000,Point,"[-117.5627778, 53.4111111]",AQ_FCST-IAJWU-202603070200-202603070000,AQHI-Forecast,original,Hinton,Hinton,IAJWU,2026-03-07T00:00:00Z,7:00 PM MST Friday  6 March 2026,7h00 PM HNR vendredi  6 mars 2026,2026-03-07T02:00:00Z,3.0,,,,,,,,,,,,,,,,
Feature,AQ_FCST-IAJWU-202603070300-202603070000,Point,"[-117.5627778, 53.4111111]",AQ_FCST-IAJWU-202603070300-202603070000,AQHI-Forecast,original,Hinton,Hinton,IAJWU,2026-03-07T00:00:00Z,8:00 PM MST Friday  6 March 2026,8h00 PM HNR vendredi  6 mars 2026,2026-03-07T03:00:00Z,3.0,,,,,,,,,,,,,,,,
Feature,AQ_FCST-IAJWU-202603070400-202603070000,Point,"[-117.5627778, 53.4111111]",AQ_FCST-IAJWU-202603070400-202603070000,AQHI-Forecast,original,Hinton,Hinton,IAJWU,2026-03-07T00:00:00Z,9:00 PM MST Friday  6 March 2026,9h00 PM HNR vendredi  6 mars 2026,2026-03-07T04:00:00Z,3.0,,,,,,,,,,,,,,,,
Feature,AQ_FCST-IAJWU-202603070500-202603070000,Point,"[-117.5627778, 53.4111111]",AQ_FCST-IAJWU-202603070500-202603070000,AQHI-Forecast,original,Hinton,Hinton,IAJWU,2026-03-07T00:00:00Z,10:00 PM MST Friday  6 March 2026,10h00 PM HNR vendredi  6 mars 2026,2026-03-07T05:00:00Z,3.0,,,,,,,,,,,,,,,,
Feature,AQ_FCST-IAJWU-202603070600-202603070000,Point,"[-117.5627778, 53.4111111]",AQ_FCST-IAJWU-202603070600-202603070000,AQHI-Forecast,original,Hinton,Hinton,IAJWU,2026-03-07T00:00:00Z,11:00 PM MST Friday  6 March 2026,11h00 PM HNR vendredi  6 mars 2026,2026-03-07T06:00:00Z,3.0,,,,,,,,,,,,,,,,
Feature,AQ_FCST-IAJWU-202603070700-202603070000,Point,"[-117.5627778, 53.4111111]",AQ_FCST-IAJWU-202603070700-202603070000,AQHI-Forecast,original,Hinton,Hinton,IAJWU,2026-03-07T00:00:00Z,12:00 AM MST Saturday  7 March 2026,12h00 AM HNR samedi  7 mars 2026,2026-03-07T07:00:00Z,3.0,,,,,,,,,,,,,,,,
Feature,AQ_FCST-IAJWU-202603070800-202603070000,Point,"[-117.5627778, 53.4111111]",AQ_FCST-IAJWU-202603070800-202603070000,AQHI-Forecast,original,Hinton,Hinton,IAJWU,2026-03-07T00:00:00Z,1:00 AM MST Saturday  7 March 2026,1h00 AM HNR samedi  7 mars 2026,2026-03-07T08:00:00Z,3.0,,,,,,,,,,,,,,,,
Feature,AQ_FCST-IAJWU-202603070900-202603070000,Point,"[-117.5627778, 53.4111111]",AQ_FCST-IAJWU-202603070900-202603070000,AQHI-Forecast,original,Hinton,Hinton,IAJWU,2026-03-07T00:00:00Z,2:00 AM MST Saturday  7 March 2026,2h00 AM HNR samedi  7 mars 2026,2026-03-07T09:00:00Z,3.0,,,,,,,,,,,,,,,,
