type,id,geometry.type,geometry.coordinates,properties.id,properties.aqhi_type,properties.observation_type,properties.location_name_en,properties.location_name_fr,properties.location_id,properties.observation_datetime,properties.observation_datetime_text_en,properties.observation_datetime_text_fr,properties.aqhi,properties.special_notes_en,properties.special_notes_fr,properties.latest
Feature,AQ_OBS-JBTMB-20260307150000,Point,"[-122.141666666667, 52.1416666666667]",AQ_OBS-JBTMB-20260307150000,AQHI-Observation,original,Williams Lake,Williams Lake,JBTMB,2026-03-07T15:00:00Z,7:00 AM PST Saturday  7 March 2026,7h00 AM HNP samedi  7 mars 2026,1.0,,,True
Feature,AQ_OBS-JBTMB-20260307140000,Point,"[-122.141666666667, 52.1416666666667]",AQ_OBS-JBTMB-20260307140000,AQHI-Observation,original,Williams Lake,Williams Lake,JBTMB,2026-03-07T14:00:00Z,6:00 AM PST Saturday  7 March 2026,6h00 AM HNP samedi  7 mars 2026,1.0,,,False
Feature,AQ_OBS-JBTMB-20260307130000,Point,"[-122.141666666667, 52.1416666666667]",AQ_OBS-JBTMB-20260307130000,AQHI-Observation,original,Williams Lake,Williams Lake,JBTMB,2026-03-07T13:00:00Z,5:00 AM PST Saturday  7 March 2026,5h00 AM HNP samedi  7 mars 2026,1.0,,,False
Feature,AQ_OBS-JBTMB-20260307120000,Point,"[-122.141666666667, 52.1416666666667]",AQ_OBS-JBTMB-20260307120000,AQHI-Observation,original,Williams Lake,Williams Lake,JBTMB,2026-03-07T12:00:00Z,4:00 AM PST Saturday  7 March 2026,4h00 AM HNP samedi  7 mars 2026,1.0,,,False
Feature,AQ_OBS-JBTMB-20260307110000,Point,"[-122.141666666667, 52.1416666666667]",AQ_OBS-JBTMB-20260307110000,AQHI-Observation,original,Williams Lake,Williams Lake,JBTMB,2026-03-07T11:00:00Z,3:00 AM PST Saturday  7 March 2026,3h00 AM HNP samedi  7 mars 2026,1.01,,,False
Feature,AQ_OBS-JBTMB-20260307080000,Point,"[-122.141666666667, 52.1416666666667]",AQ_OBS-JBTMB-20260307080000,AQHI-Observation,original,Williams Lake,Williams Lake,JBTMB,2026-03-07T08:00:00Z,12:00 AM PST Saturday  7 March 2026,12h00 AM HNP samedi  7 mars 2026,1.2,,,False
Feature,AQ_OBS-JBTMB-20260307070000,Point,"[-122.141666666667, 52.1416666666667]",AQ_OBS-JBTMB-20260307070000,AQHI-Observation,original,Williams Lake,Williams Lake,JBTMB,2026-03-07T07:00:00Z,11:00 PM PST Friday  6 March 2026,11h00 PM HNP vendredi  6 mars 2026,1.3,,,False
Feature,AQ_OBS-JBTMB-20260307060000,Point,"[-122.141666666667, 52.1416666666667]",AQ_OBS-JBTMB-20260307060000,AQHI-Observation,original,Williams Lake,Williams Lake,JBTMB,2026-03-07T06:00:00Z,10:00 PM PST Friday  6 March 2026,10h00 PM HNP vendredi  6 mars 2026,1.31,,,False
Feature,AQ_OBS-JBTMB-20260307050000,Point,"[-122.141666666667, 52.1416666666667]",AQ_OBS-JBTMB-20260307050000,AQHI-Observation,original,Williams Lake,Williams Lake,JBTMB,2026-03-07T05:00:00Z,9:00 PM PST Friday  6 March 2026,9h00 PM HNP vendredi  6 mars 2026,1.49,,,False
Feature,AQ_OBS-JBTMB-20260307040000,Point,"[-122.141666666667, 52.1416666666667]",AQ_OBS-JBTMB-20260307040000,AQHI-Observation,amendment,Williams Lake,Williams Lake,JBTMB,2026-03-07T04:00:00Z,8:00 PM PST Friday  6 March 2026,8h00 PM HNP vendredi  6 mars 2026,1.58,,,False
Feature,AQ_OBS-JBTMB-20260307030000,Point,"[-122.141666666667, 52.1416666666667]",AQ_OBS-JBTMB-20260307030000,AQHI-Observation,original,Williams Lake,Williams Lake,JBTMB,2026-03-07T03:00:00Z,7:00 PM PST Friday  6 March 2026,7h00 PM HNP vendredi  6 mars 2026,1.63,,,False
Feature,AQ_OBS-JBTMB-20260307020000,Point,"[-122.141666666667, 52.1416666666667]",AQ_OBS-JBTMB-20260307020000,AQHI-Observation,original,Williams Lake,Williams Lake,JBTMB,2026-03-07T02:00:00Z,6:00 PM PST Friday  6 March 2026,6h00 PM HNP vendredi  6 mars 2026,1.65,,,False
Feature,AQ_OBS-JBTMB-20260307010000,Point,"[-122.141666666667, 52.1416666666667]",AQ_OBS-JBTMB-20260307010000,AQHI-Observation,original,Williams Lake,Williams Lake,JBTMB,2026-03-07T01:00:00Z,5:00 PM PST Friday  6 March 2026,5h00 PM HNP vendredi  6 mars 2026,1.66,,,False
Feature,AQ_OBS-JBTMB-20260307000000,Point,"[-122.141666666667, 52.1416666666667]",AQ_OBS-JBTMB-20260307000000,AQHI-Observation,original,Williams Lake,Williams Lake,JBTMB,2026-03-07T00:00:00Z,4:00 PM PST Friday  6 March 2026,4h00 PM HNP vendredi  6 mars 2026,1.63,,,False
Feature,AQ_OBS-JBTMB-20260307090000,Point,"[-122.141666666667, 52.1416666666667]",AQ_OBS-JBTMB-20260307090000,AQHI-Observation,original,Williams Lake,Williams Lake,JBTMB,2026-03-07T09:00:00Z,1:00 AM PST Saturday  7 March 2026,1h00 AM HNP samedi  7 mars 2026,1.17,,,False
Feature,AQ_OBS-JBTMB-20260307100000,Point,"[-122.141666666667, 52.1416666666667]",AQ_OBS-JBTMB-20260307100000,AQHI-Observation,original,Williams Lake,Williams Lake,JBTMB,2026-03-07T10:00:00Z,2:00 AM PST Saturday  7 March 2026,2h00 AM HNP samedi  7 mars 2026,1.08,,,False
Feature,AQ_OBS-IABOA-20260307230000,Point,"[-114.9808333, 53.2241666]",AQ_OBS-IABOA-20260307230000,AQHI-Observation,original,Drayton Valley,Drayton Valley,IABOA,2026-03-07T23:00:00Z,4:00 PM MST Saturday  7 March 2026,4h00 PM HNR samedi  7 mars 2026,2.76,,,False
Feature,AQ_OBS-IABOA-20260307220000,Point,"[-114.9808333, 53.2241666]",AQ_OBS-IABOA-20260307220000,AQHI-Observation,original,Drayton Valley,Drayton Valley,IABOA,2026-03-07T22:00:00Z,3:00 PM MST Saturday  7 March 2026,3h00 PM HNR samedi  7 mars 2026,2.78,,,False
